,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Ticker,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA,PYPL,ADBE,CSCO,AMD,INTC,NFLX,ZM,MRNA,AMAT,QCOM,ASML,AVGO,SMCI
Date,,,,,,,,,,,,,,,,,,,,
2024-10-31,225.4138946533203,404.72674560546875,170.91412353515625,186.39999389648438,132.7508544921875,567.12255859375,249.85000610351562,79.30000305175781,478.0799865722656,54.39930725097656,144.07000732421875,21.520000457763672,756.030029296875,74.73999786376953,54.36000061035156,180.73768615722656,161.9229736328125,672.5499877929688,169.31634521484375,29.110000610351562
2024-11-01,222.4204864501953,408.73065185546875,171.09390258789062,197.92999267578125,135.3906707763672,566.702880859375,248.97999572753906,77.25,482.79998779296875,55.124366760253906,141.86000061035156,23.200000762939453,756.0999755859375,75.5999984741211,54.630001068115234,182.5293426513672,164.4099578857422,674.72998046875,168.46861267089844,26.049999237060547
2024-11-04,221.52244567871094,406.8282775878906,169.0462646484375,195.77999877929688,136.04063415527344,560.2280883789062,242.83999633789062,78.12999725341797,481.3500061035156,55.45213317871094,140.7100067138672,22.520000457763672,755.510009765625,75.54000091552734,53.540000915527344,180.97657775878906,164.32041931152344,671.1599731445312,168.099609375,26.030000686645508
2024-11-05,222.95928955078125,409.8163146972656,169.5457000732422,199.5,139.90036010742188,571.9686279296875,251.44000244140625,79.25,486.4200134277344,55.77989959716797,141.66000366210938,23.31999969482422,763.9099731445312,77.75,53.290000915527344,185.6149444580078,165.046630859375,676.4600219726562,173.435302734375,27.700000762939453
2024-11-06,222.23089599609375,418.50146484375,176.3079376220703,207.08999633789062,145.59996032714844,571.5889282226562,288.5299987792969,81.41000366210938,504.8299865722656,57.47832489013672,145.10000610351562,25.049999237060547,780.2100219726562,79.69000244140625,51.810001373291016,186.65013122558594,172.0897979736328,661.4299926757812,179.07020568847656,22.700000762939453
2024-11-07,226.98043823242188,423.73052978515625,180.5430908203125,210.0500030517578,148.8697509765625,591.22314453125,296.9100036621094,81.3499984741211,500.9200134277344,57.68690490722656,149.82000732421875,26.229999542236328,796.5399780273438,80.19000244140625,50.279998779296875,193.1896514892578,172.0102081298828,677.2100219726562,183.31881713867188,25.479999542236328
2024-11-08,226.7107391357422,420.85205078125,178.14584350585938,208.17999267578125,147.6198272705078,588.8650512695312,321.2200012207031,83.01000213623047,494.67999267578125,57.66704177856445,147.9499969482422,26.200000762939453,795.0399780273438,81.45999908447266,46.83000183105469,191.1392059326172,170.02061462402344,669.469970703125,183.14927673339844,24.520000457763672
2024-11-11,223.98373413085938,416.34014892578125,180.1435546875,206.83999633789062,145.24998474121094,582.699951171875,350.0,86.94000244140625,504.4800109863281,58.233184814453125,147.35000610351562,25.049999237060547,805.4400024414062,85.58000183105469,42.75,187.68528747558594,167.41424560546875,671.3099975585938,178.43191528320312,23.229999542236328
2024-11-12,223.98373413085938,421.340087890625,181.41207885742188,208.91000366210938,148.27976989746094,584.3486328125,328.489990234375,86.4000015258789,526.4199829101562,58.31264114379883,143.6300048828125,24.15999984741211,819.5,86.31999969482422,43.470001220703125,185.7443389892578,162.5596466064453,669.1799926757812,175.7490997314453,21.700000762939453
2024-11-13,224.8727569580078,423.50146484375,178.67523193359375,214.10000610351562,146.25991821289062,579.5325317382812,330.239990234375,87.30999755859375,532.5,58.77946090698242,139.3000030517578,24.920000076293945,830.469970703125,85.04000091552734,42.13999938964844,181.9420623779297,159.585205078125,673.4099731445312,173.1161651611328,20.329999923706055
